"id","subject_id","student_id","grade","time_of"
1,2,"6f7010",4,2023-01-16
2,4,"6f7010",10,2023-01-16
3,6,"6f7010",4,2023-01-16
4,8,"6f7010",8,2023-01-16
5,7,"6f7010",4,2023-01-16
6,2,"7b268b",4,2023-01-16
7,4,"7b268b",9,2023-01-16
8,6,"7b268b",11,2023-01-16
9,8,"7b268b",3,2023-01-16
10,7,"7b268b",7,2023-01-16
11,2,"2d30ec",4,2023-01-16
12,4,"2d30ec",9,2023-01-16
13,6,"2d30ec",6,2023-01-16
14,8,"2d30ec",9,2023-01-16
15,7,"2d30ec",8,2023-01-16
16,2,"1c192d",1,2023-01-16
17,4,"1c192d",3,2023-01-16
18,6,"1c192d",7,2023-01-16
19,8,"1c192d",2,2023-01-16
20,7,"1c192d",8,2023-01-16
21,2,b85d7b,8,2023-01-16
22,4,b85d7b,6,2023-01-16
23,6,b85d7b,12,2023-01-16
24,8,b85d7b,6,2023-01-16
25,7,b85d7b,5,2023-01-16
26,6,"80cc75",1,2023-01-17
27,7,"80cc75",1,2023-01-17
28,4,"80cc75",5,2023-01-17
29,1,"80cc75",5,2023-01-17
30,3,"80cc75",2,2023-01-17
31,6,"6f7010",4,2023-01-17
32,7,"6f7010",9,2023-01-17
33,4,"6f7010",8,2023-01-17
34,1,"6f7010",9,2023-01-17
35,3,"6f7010",12,2023-01-17
36,6,a06b5a,1,2023-01-17
37,7,a06b5a,3,2023-01-17
38,4,a06b5a,9,2023-01-17
39,1,a06b5a,9,2023-01-17
40,3,a06b5a,1,2023-01-17
41,6,dcdc9b,1,2023-01-17
42,7,dcdc9b,5,2023-01-17
43,4,dcdc9b,11,2023-01-17
44,1,dcdc9b,2,2023-01-17
45,3,dcdc9b,2,2023-01-17
46,5,b39cee,2,2023-01-18
47,8,b39cee,3,2023-01-18
48,4,b39cee,2,2023-01-18
49,2,b39cee,1,2023-01-18
50,1,b39cee,1,2023-01-18
51,5,"275dd5",12,2023-01-18
52,8,"275dd5",7,2023-01-18
53,4,"275dd5",10,2023-01-18
54,2,"275dd5",1,2023-01-18
55,1,"275dd5",6,2023-01-18
56,5,"1c192d",7,2023-01-18
57,8,"1c192d",5,2023-01-18
58,4,"1c192d",11,2023-01-18
59,2,"1c192d",2,2023-01-18
60,1,"1c192d",2,2023-01-18
61,5,"40e0fe",8,2023-01-18
62,8,"40e0fe",4,2023-01-18
